"Name","Team","Pos","Pos","TrueValue","Diff","Average ADP","Markers"
"Chase Brown","CIN","RB","RB","2.01","+4Picks","2.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Justin Jefferson","MIN","WR","WR","2.05","-5Picks","1.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Brock Bowers","LV","TE","TE","2.05","+7Picks","2.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Trey McBride","ARI","TE","TE","2.06","+5Picks","2.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"A.J. Brown","NE","WR","WR","2.06","+1Pick","2.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chris Olave","NO","WR","WR","2.07","+11Picks","3.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Nico Collins","HOU","WR","WR","2.07","+7Picks","3.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Josh Allen","BUF","QB","QB","2.08","-","2.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Garrett Wilson","NYJ","WR","WR","2.10","+20Picks","4.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Drake London","ATL","WR","WR","2.11","-4Picks","2.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Omarion Hampton","LAC","RB","RB","2.12","-7Picks","2.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"George Pickens","DAL","WR","WR","3.01","-","3.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Rashee Rice","KC","WR","WR","3.02","+3Picks","3.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Malik Nabers","NYG","WR","WR","3.02","+5Picks","3.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ashton Jeanty","LV","RB","RB","3.05","-11Picks","2.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Saquon Barkley","PHI","RB","RB","3.06","-17Picks","2.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Zay Flowers","BAL","WR","WR","3.07","+12Picks","4.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"DeVonta Smith","PHI","WR","WR","3.09","+2Picks","3.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Lamar Jackson","BAL","QB","QB","3.09","-","3.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaylen Waddle","DEN","WR","WR","3.09","+16Picks","5.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ladd McConkey","LAC","WR","WR","3.11","+7Picks","4.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Derrick Henry","BAL","RB","RB","3.11","-17Picks","2.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Emeka Egbuka","TB","WR","WR","4.04","+2Picks","4.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tetairoa McMillan","CAR","WR","WR","4.06","-2Picks","4.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tee Higgins","CIN","WR","WR","4.06","+1Pick","4.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jeremiyah Love","ARI","RB","RB","4.06","-16Picks","3.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kyren Williams","LAR","RB","RB","4.06","-9Picks","3.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Carnell Tate","TEN","WR","WR","4.07","+29Picks","6.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Breece Hall","NYJ","RB","RB","4.07","-8Picks","3.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Luther Burden III","CHI","WR","WR","4.07","+22Picks","6.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"D'Andre Swift","CHI","RB","RB","4.08","+9Picks","5.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Christian Watson","GB","WR","WR","4.11","+33Picks","7.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jalen Hurts","PHI","QB","QB","4.11","+10Picks","5.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Parker Washington","JAX","WR","WR","4.12","+34Picks","7.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Terry McLaurin","WAS","WR","WR","5.01","+10Picks","5.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Javonte Williams","DAL","RB","RB","5.02","-17Picks","3.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jameson Williams","DET","WR","WR","5.03","+11Picks","6.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"DJ Moore","BUF","WR","WR","5.04","+7Picks","5.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jayden Daniels","WAS","QB","QB","5.05","+7Picks","5.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Davante Adams","LAR","WR","WR","5.05","-5Picks","4.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Travis Etienne Jr.","NO","RB","RB","5.08","-13Picks","4.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Joe Burrow","CIN","QB","QB","5.09","-4Picks","5.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tyler Warren","IND","TE","TE","5.11","-8Picks","5.03","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Mike Evans","SF","WR","WR","5.11","+15Picks","7.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Drake Maye","NE","QB","QB","5.12","-13Picks","4.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Colston Loveland","CHI","TE","TE","6.02","-20Picks","4.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Rome Odunze","CHI","WR","WR","6.02","+2Picks","6.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cam Skattebo","NYG","RB","RB","6.04","-20Picks","4.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Bucky Irving","TB","RB","RB","6.05","-15Picks","5.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Marvin Harrison Jr.","ARI","WR","WR","6.06","+12Picks","7.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"DK Metcalf","PIT","WR","WR","6.08","+13Picks","7.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Bhayshul Tuten","JAX","RB","RB","6.08","-6Picks","6.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Alec Pierce","IND","WR","WR","6.08","+35Picks","9.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Brian Thomas Jr.","JAX","WR","WR","6.11","+23Picks","8.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Harold Fannin Jr.","CLE","TE","TE","6.12","-1Pick","6.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Quinshon Judkins","CLE","RB","RB","7.02","-22Picks","5.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaxson Dart","NYG","QB","QB","7.04","+12Picks","8.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chris Godwin Jr.","TB","WR","WR","7.05","+32Picks","10.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"TreVeyon Henderson","NE","RB","RB","7.06","-10Picks","6.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jadarian Price","SEA","RB","RB","7.08","-12Picks","6.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"David Montgomery","HOU","RB","RB","7.08","-24Picks","5.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Quentin Johnston","LAC","WR","WR","7.08","+43Picks","11.03","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Michael Pittman Jr.","PIT","WR","WR","7.09","+17Picks","9.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tucker Kraft","GB","TE","TE","7.09","-4Picks","7.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"MarShawn Lloyd","GB","RB","RB","7.09","+54Picks","12.03","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Caleb Williams","CHI","QB","QB","7.09","-","7.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Rhamondre Stevenson","NE","RB","RB","7.10","-2Picks","7.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Trevor Lawrence","JAX","QB","QB","8.02","+14Picks","9.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Wan'Dale Robinson","TEN","WR","WR","8.04","+29Picks","10.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dak Prescott","DAL","QB","QB","8.04","-12Picks","7.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"George Kittle","SF","TE","TE","8.07","-11Picks","7.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Sam LaPorta","DET","TE","TE","8.08","-26Picks","6.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Bo Nix","DEN","QB","QB","8.09","+15Picks","9.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Michael Wilson","ARI","WR","WR","8.10","-","8.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Rico Dowdle","PIT","RB","RB","8.10","-3Picks","8.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Stefon Diggs","WAS","WR","WR","8.10","+13Picks","9.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Courtland Sutton","DEN","WR","WR","9.02","-17Picks","7.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Justin Herbert","LAC","QB","QB","9.04","-14Picks","8.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jordan Addison","MIN","WR","WR","9.06","+9Picks","10.03","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"De'Zhaun Stribling","SF","WR","WR","9.07","+36Picks","12.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kyle Pitts Sr.","ATL","TE","TE","9.07","-35Picks","6.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jayden Reed","GB","WR","WR","9.08","+20Picks","11.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kenny Gainwell","TB","RB","RB","9.09","+4Picks","10.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaylen Warren","PIT","RB","RB","9.11","-26Picks","7.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Brock Purdy","SF","QB","QB","9.12","+8Picks","10.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jacory Croskey-Merritt","WAS","RB","RB","10.01","+17Picks","11.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tyler Shough","NO","QB","QB","10.01","+61Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Josh Downs","IND","WR","WR","10.01","+16Picks","11.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Juwan Johnson","NO","TE","TE","10.01","+61Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jakobi Meyers","JAX","WR","WR","10.03","+11Picks","11.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Travis Kelce","KC","TE","TE","10.04","-20Picks","8.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chuba Hubbard","CAR","RB","RB","10.05","-19Picks","8.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tony Pollard","TEN","RB","RB","10.07","-27Picks","8.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Romeo Doubs","NE","WR","WR","10.07","+26Picks","12.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kyler Murray","MIN","QB","QB","10.08","+34Picks","13.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"J.K. Dobbins","DEN","RB","RB","10.09","-15Picks","9.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jonathon Brooks","CAR","RB","RB","10.11","-14Picks","9.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Khalil Shakir","BUF","WR","WR","11.01","+20Picks","12.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jake Ferguson","DAL","TE","TE","11.02","-18Picks","9.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Makai Lemon","PHI","WR","WR","11.03","+10Picks","12.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dalton Schultz","HOU","TE","TE","11.04","+55Picks","15.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Xavier Worthy","KC","WR","WR","11.05","+9Picks","12.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Isaiah Likely","NYG","TE","TE","11.05","-10Picks","10.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dalton Kincaid","BUF","TE","TE","11.06","-17Picks","10.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jalen Coker","CAR","WR","WR","11.07","+24Picks","13.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dallas Goedert","PHI","TE","TE","11.10","-18Picks","10.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Rashid Shaheed","SEA","WR","WR","12.01","+21Picks","13.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kyle Monangai","CHI","RB","RB","12.01","-20Picks","10.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jordan Love","GB","QB","QB","12.02","+19Picks","13.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kayshon Boutte","HOU","WR","WR","12.02","+68Picks","17.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"KC Concepcion","CLE","WR","WR","12.02","-","12.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Brenton Strange","JAX","TE","TE","12.03","+25Picks","14.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Matthew Golden","GB","WR","WR","12.04","-17Picks","10.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Keenan Allen","IND","WR","WR","12.06","+44Picks","16.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jordan Mason","MIN","RB","RB","12.07","-14Picks","11.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Rachaad White","WAS","RB","RB","12.09","-11Picks","11.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Mark Andrews","BAL","TE","TE","12.09","-14Picks","11.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Blake Corum","LAR","RB","RB","12.11","-28Picks","10.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jared Goff","DET","QB","QB","13.01","-11Picks","12.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Hunter Henry","NE","TE","TE","13.03","-","13.03","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Baker Mayfield","TB","QB","QB","13.06","-5Picks","13.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"RJ Harvey","DEN","RB","RB","13.07","-48Picks","9.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tre Tucker","LV","WR","WR","13.07","+35Picks","16.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jordyn Tyson","NO","WR","WR","13.09","-20Picks","12.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Patrick Mahomes","KC","QB","QB","13.09","-44Picks","10.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chig Okonkwo","WAS","TE","TE","13.10","+38Picks","16.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Aaron Jones Sr.","MIN","RB","RB","13.10","-33Picks","11.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tyjae Spears","TEN","RB","RB","13.12","-","13.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Omar Cooper Jr.","NYJ","WR","WR","13.12","+38Picks","17.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jauan Jennings","MIN","WR","WR","14.01","+57Picks","18.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Deebo Samuel Sr.","SF","WR","WR","14.04","-24Picks","12.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Denzel Boston","CLE","WR","WR","14.06","+9Picks","15.03","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Matthew Stafford","LAR","QB","QB","14.07","-70Picks","8.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Greg Dulcich","MIA","TE","TE","14.07","-","Undrafted","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"T.J. Hockenson","MIN","TE","TE","14.08","-7Picks","14.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kenyon Sadiq","NYJ","TE","TE","14.10","-","14.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Pat Freiermuth","PIT","TE","TE","14.12","+2Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Pat Bryant","DEN","WR","WR","15.01","+58Picks","19.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Malik Willis","MIA","QB","QB","15.01","+19Picks","16.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jalen Nailor","LV","WR","WR","15.01","+16Picks","16.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cade Otton","TB","TE","TE","15.02","+63Picks","20.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Travis Hunter","JAX","WR","WR","15.02","-27Picks","12.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Woody Marks","HOU","RB","RB","15.02","-14Picks","13.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cooper Kupp","SEA","WR","WR","15.02","+14Picks","16.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jerry Jeudy","CLE","WR","WR","15.02","+9Picks","15.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chris Rodriguez Jr.","JAX","RB","RB","15.02","-17Picks","13.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"AJ Barner","SEA","TE","TE","15.02","+6Picks","15.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Malachi Fields","NYG","WR","WR","15.02","+50Picks","19.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Isiah Pacheco","DET","RB","RB","15.02","+4Picks","15.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ja'Kobi Lane","BAL","WR","WR","15.02","-6Picks","14.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tank Dell","HOU","WR","WR","15.02","+4Picks","15.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cam Ward","TEN","QB","QB","15.02","+29Picks","17.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Adonai Mitchell","NYJ","WR","WR","15.02","+61Picks","20.03","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Germie Bernard","PIT","WR","WR","15.03","+59Picks","20.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cyrus Allen","KC","WR","WR","15.05","-3Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Keaton Mitchell","LAC","RB","RB","15.06","+4Picks","15.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kyle Williams","NE","WR","WR","15.06","+48Picks","19.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Calvin Ridley","TEN","WR","WR","15.06","+37Picks","18.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Oronde Gadsden","LAC","TE","TE","15.08","-38Picks","12.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"C.J. Stroud","HOU","QB","QB","15.08","+10Picks","16.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Zach Charbonnet","SEA","RB","RB","15.10","-27Picks","13.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tre' Harris","LAC","WR","WR","15.11","+52Picks","20.03","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tyler Allgeier","ARI","RB","RB","15.11","-25Picks","13.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
